airline_name,type,flight_date,timestamp,price
United Airlines,Departure,1880,2023-01-29,"1,851"
United Airlines,Departure,1850,2023-01-29,"1,675"
United Airlines,Departure,1200,2023-01-29,"1,619"
United Airlines,Departure,1000,2023-01-29,"1,376"
United Airlines,Departure,1900,2023-01-29,"1,473"
United Airlines,Departure,1990,2023-01-29,"1,811"
United Airlines,Departure,1760,2023-01-29,"2,012"
United Airlines,Return,13 April,2023-01-29,470
United Airlines,Return,14 April,2023-01-29,728
United Airlines,Return,15 April,2023-01-29,734
United Airlines,Return,16 April,2023-01-29,501
United Airlines,Return,17 April,2023-01-29,772
United Airlines,Return,18 April,2023-01-29,351
United Airlines,Return,19 April,2023-01-29,516
United Airlines,Total,12 March – 13 April,2023-01-29,"2,435"
United Airlines,Total,12 March – 14 April,2023-01-29,"3,274"
United Airlines,Total,12 March – 15 April,2023-01-29,"3,465"
United Airlines,Total,12 March – 16 April,2023-01-29,"3,969"
United Airlines,Total,12 March – 17 April,2023-01-29,"5,555"
United Airlines,Total,12 March – 18 April,2023-01-29,"6,163"
United Airlines,Total,12 March – 19 April,2023-01-29,"6,493"
United Airlines,Total,13 March – 13 April,2023-01-29,"2,474"
United Airlines,Total,13 March – 14 April,2023-01-29,"3,250"
United Airlines,Total,13 March – 15 April,2023-01-29,"3,554"
United Airlines,Total,13 March – 16 April,2023-01-29,"4,035"
United Airlines,Total,13 March – 17 April,2023-01-29,"5,535"
United Airlines,Total,13 March – 18 April,2023-01-29,"6,193"
United Airlines,Total,13 March – 19 April,2023-01-29,"6,435"
United Airlines,Total,14 March – 13 April,2023-01-29,"2,594"
United Airlines,Total,14 March – 14 April,2023-01-29,"3,157"
United Airlines,Total,14 March – 15 April,2023-01-29,"3,567"
United Airlines,Total,14 March – 16 April,2023-01-29,"3,968"
United Airlines,Total,14 March – 17 April,2023-01-29,"5,609"
United Airlines,Total,14 March – 18 April,2023-01-29,"6,282"
United Airlines,Total,14 March – 19 April,2023-01-29,"6,485"
United Airlines,Total,15 March – 13 April,2023-01-29,"2,564"
United Airlines,Total,15 March – 14 April,2023-01-29,"3,130"
United Airlines,Total,15 March – 15 April,2023-01-29,"3,506"
United Airlines,Total,15 March – 16 April,2023-01-29,"3,906"
United Airlines,Total,15 March – 17 April,2023-01-29,"5,549"
United Airlines,Total,15 March – 18 April,2023-01-29,"6,169"
United Airlines,Total,15 March – 19 April,2023-01-29,"6,518"
United Airlines,Total,16 March – 13 April,2023-01-29,"2,437"
United Airlines,Total,16 March – 14 April,2023-01-29,"3,300"
United Airlines,Total,16 March – 15 April,2023-01-29,"3,512"
United Airlines,Total,16 March – 16 April,2023-01-29,"3,940"
United Airlines,Total,16 March – 17 April,2023-01-29,"5,547"
United Airlines,Total,16 March – 18 April,2023-01-29,"6,167"
United Airlines,Total,16 March – 19 April,2023-01-29,"6,513"
United Airlines,Total,17 March – 13 April,2023-01-29,"2,521"
United Airlines,Total,17 March – 14 April,2023-01-29,"3,321"
United Airlines,Total,17 March – 15 April,2023-01-29,"3,461"
United Airlines,Total,17 March – 16 April,2023-01-29,"4,014"
United Airlines,Total,17 March – 17 April,2023-01-29,"5,704"
United Airlines,Total,17 March – 18 April,2023-01-29,"6,264"
United Airlines,Total,17 March – 19 April,2023-01-29,"6,421"
United Airlines,Total,18 March – 13 April,2023-01-29,"2,592"
United Airlines,Total,18 March – 14 April,2023-01-29,"3,295"
United Airlines,Total,18 March – 15 April,2023-01-29,"3,590"
United Airlines,Total,18 March – 16 April,2023-01-29,"4,050"
United Airlines,Total,18 March – 17 April,2023-01-29,"5,711"
United Airlines,Total,18 March – 18 April,2023-01-29,"6,110"
United Airlines,Total,18 March – 19 April,2023-01-29,"6,454"
United Airlines,Departure,1880,2023-01-30,"2,168"
United Airlines,Departure,1850,2023-01-30,"1,456"
United Airlines,Departure,1200,2023-01-30,750
United Airlines,Departure,1000,2023-01-30,"1,227"
United Airlines,Departure,1900,2023-01-30,"2,143"
United Airlines,Departure,1990,2023-01-30,"2,001"
United Airlines,Departure,1760,2023-01-30,"2,033"
United Airlines,Return,13 April,2023-01-30,567
United Airlines,Return,14 April,2023-01-30,644
United Airlines,Return,15 April,2023-01-30,858
United Airlines,Return,16 April,2023-01-30,548
United Airlines,Return,17 April,2023-01-30,654
United Airlines,Return,18 April,2023-01-30,480
United Airlines,Return,19 April,2023-01-30,482
United Airlines,Total,12 March – 13 April,2023-01-30,"2,589"
United Airlines,Total,12 March – 14 April,2023-01-30,"3,297"
United Airlines,Total,12 March – 15 April,2023-01-30,"3,456"
United Airlines,Total,12 March – 16 April,2023-01-30,"4,057"
United Airlines,Total,12 March – 17 April,2023-01-30,"5,655"
United Airlines,Total,12 March – 18 April,2023-01-30,"6,222"
United Airlines,Total,12 March – 19 April,2023-01-30,"6,442"
United Airlines,Total,13 March – 13 April,2023-01-30,"2,484"
United Airlines,Total,13 March – 14 April,2023-01-30,"3,210"
United Airlines,Total,13 March – 15 April,2023-01-30,"3,442"
United Airlines,Total,13 March – 16 April,2023-01-30,"3,931"
United Airlines,Total,13 March – 17 April,2023-01-30,"5,614"
United Airlines,Total,13 March – 18 April,2023-01-30,"6,101"
United Airlines,Total,13 March – 19 April,2023-01-30,"6,431"
United Airlines,Total,14 March – 13 April,2023-01-30,"2,521"
United Airlines,Total,14 March – 14 April,2023-01-30,"3,167"
United Airlines,Total,14 March – 15 April,2023-01-30,"3,496"
United Airlines,Total,14 March – 16 April,2023-01-30,"4,069"
United Airlines,Total,14 March – 17 April,2023-01-30,"5,527"
United Airlines,Total,14 March – 18 April,2023-01-30,"6,193"
United Airlines,Total,14 March – 19 April,2023-01-30,"6,556"
United Airlines,Total,15 March – 13 April,2023-01-30,"2,576"
United Airlines,Total,15 March – 14 April,2023-01-30,"3,165"
United Airlines,Total,15 March – 15 April,2023-01-30,"3,468"
United Airlines,Total,15 March – 16 April,2023-01-30,"4,079"
United Airlines,Total,15 March – 17 April,2023-01-30,"5,559"
United Airlines,Total,15 March – 18 April,2023-01-30,"6,218"
United Airlines,Total,15 March – 19 April,2023-01-30,"6,466"
United Airlines,Total,16 March – 13 April,2023-01-30,"2,459"
United Airlines,Total,16 March – 14 April,2023-01-30,"3,299"
United Airlines,Total,16 March – 15 April,2023-01-30,"3,572"
United Airlines,Total,16 March – 16 April,2023-01-30,"4,049"
United Airlines,Total,16 March – 17 April,2023-01-30,"5,587"
United Airlines,Total,16 March – 18 April,2023-01-30,"6,107"
United Airlines,Total,16 March – 19 April,2023-01-30,"6,426"
United Airlines,Total,17 March – 13 April,2023-01-30,"2,618"
United Airlines,Total,17 March – 14 April,2023-01-30,"3,263"
United Airlines,Total,17 March – 15 April,2023-01-30,"3,483"
United Airlines,Total,17 March – 16 April,2023-01-30,"4,080"
United Airlines,Total,17 March – 17 April,2023-01-30,"5,549"
United Airlines,Total,17 March – 18 April,2023-01-30,"6,112"
United Airlines,Total,17 March – 19 April,2023-01-30,"6,545"
United Airlines,Total,18 March – 13 April,2023-01-30,"2,499"
United Airlines,Total,18 March – 14 April,2023-01-30,"3,238"
United Airlines,Total,18 March – 15 April,2023-01-30,"3,510"
United Airlines,Total,18 March – 16 April,2023-01-30,"3,907"
United Airlines,Total,18 March – 17 April,2023-01-30,"5,714"
United Airlines,Total,18 March – 18 April,2023-01-30,"6,133"
United Airlines,Total,18 March – 19 April,2023-01-30,"6,387"
United Airlines,Departure,1880,2023-01-31,"1,883"
United Airlines,Departure,1850,2023-01-31,"2,305"
United Airlines,Departure,1200,2023-01-31,950
United Airlines,Departure,1000,2023-01-31,"1,270"
United Airlines,Departure,1900,2023-01-31,"1,636"
United Airlines,Departure,1990,2023-01-31,"2,479"
United Airlines,Departure,1760,2023-01-31,"1,974"
United Airlines,Return,13 April,2023-01-31,581
United Airlines,Return,14 April,2023-01-31,591
United Airlines,Return,15 April,2023-01-31,726
United Airlines,Return,16 April,2023-01-31,616
United Airlines,Return,17 April,2023-01-31,783
United Airlines,Return,18 April,2023-01-31,337
United Airlines,Return,19 April,2023-01-31,509
United Airlines,Total,12 March – 13 April,2023-01-31,"2,514"
United Airlines,Total,12 March – 14 April,2023-01-31,"3,260"
